course,course_name,short_description,long_description
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 300 - Direction of Doctoral Dissertations,SLAVIC 300 , Direction of Doctoral Dissertations,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 301 - Reading and Research,SLAVIC 301 , Reading and Research,
SLAVIC 91R - Supervised Reading and Research,SLAVIC 91R , Supervised Reading and Research,
SLAVIC 99A - Tutorial - Senior Year,SLAVIC 99A , Tutorial ,Description:  For senior concentrators in Slavic Literature and Culture. Students work with a faculty advisor on a senior thesis or capstone project.
SOC-STD 10A - Introduction to Social Studies,SOC,STD 10A ,"Description:  This course offers an introduction to the classic texts of social theory of the eighteenth and nineteenth centuries. Our focus will be on the rise of democratic, capitalist societies and the concomitant development of modern moral, political, and economic ideas. Authors we will examine include Jean-Jacques Rousseau, Adam Smith, Alexis de Tocqueville, John Stuart Mill, and Karl Marx."
SOC-STD 68UH - Urban Health and Community Change: Action Planning With Local Stakeholders,SOC,STD 68UH ,"Description:  This is a project-based course on urban community health. We will examine urban health topics from a macro level in the classroom, while exploring community health issues at the local level by engaging with community stakeholders on a health promotion project. We will explore the social conditions people need to be healthy, and strategies to advance health equity that put people in diverse communities on pathways to health as opposed to disparities. To understand how health promoting environments can be created and sustained, we will discuss how community engagement, participatory planning, and cross-sector collaboration can advance health improvement efforts at the local level. There are great possibilities as well as challenges to creating and sustaining healthy communities, particularly in rapidly evolving cities in major metropolitan areas. This course will provide a window into how pressing, highly visible and complex national issues are experienced and addressed in real time, and the real-world complexities involved in advancing meaningful community change.Open to students in all concentrations. Enrollment capped at 10."
SOC-STD 91 - Supervised Reading and Research,SOC,STD 91 ,Description:  Individual work in Social Studies on a topic not covered by regular courses of instruction. Permission of the Director of Studies required.
SOC-STD 96LD - Donald Trump and the Challenge to Liberal Democracy,SOC,STD 96LD ,"Description:  Is liberal democracy in crisis? Has it always been in crisis?Until recently, liberal democracy was largely taken for granted in the West, and many saw it as the wave of the future around the globe. But over the last decade, it has come under challenge in unanticipated ways. Far-right parties gained ground in many countries, although recent elections in Europe suggest that they have plateaued and might even be in retreat. Donald Trump?s election brought this conversation directly to American shores. This class will discuss the challenge to liberal democracy, with special reference to the United States, but also in comparative perspective. There will be particular attention to France, Britain, the Netherlands and Germany and also discussion of the similarities and differences between our time and the 1930s. We will discuss the economic, sociological, and cultural challenges to liberal democracy, and the obligations that fall upon those who would defend it."
SOC-STD 98AX - Development and Modernization: A Critical Perspective,SOC,STD 98AX ,"Description:  What assumptions about human beings underlie the conviction that development and modernization constitute progress, that the developed West points the way for the rest of the world? Does economic growth involve a package that necessarily changes the society, the polity, and the culture along with the economy? This tutorial provides a framework for thinking about these questions, both in the context of the West, and in the context of the Third World. This is a junior tutorial."
"SOC-STD 98EO - Art, Popular Culture, and Civic Life",SOC,STD 98EO ,"Description:  The seminar explores the interplay of the arts, popular culture and civic life. It will draw on studies in art, history, philosophy, literature, sociology, and photography. Among the questions we will address are: How is historical memory constructed, and what are the competing forces that shape it? What is the significance of public apologies, and does solidarity create moral responsibilities for historical injustices? What accounts for impulse to control and censor the arts? How is cultural domination exerted, and how is it resisted? In what ways does rhetoric shape politics, and what role does it play in national narratives? Why does the contest to control images loom so large in politics and in our everyday lives? This is a junior tutorial."
SOC-STD 98JL - Global Social Movements,SOC,STD 98JL ,"Description:  Social movements are often considered a driving force behind political, social, and cultural change. This course explores the major theoretical and empirical approaches used in the social sciences to understand social movements. The course will examine a range of case studies from around the globe, including movements dealing with human rights, economic and environmental justice, and armed revolutions. Particular attention will be paid to transnational activism. This is a junior tutorial."
